timestep,esc_msg_time_ms,esc_receive_time_ms,force_msg_time_ms,force_receive_time_ms,force_x,force_y,force_z,force_norm,torque_x,torque_y,torque_z,power_current,rotor0_target_thrust,rotor0_rpm,rotor0_esc_current,rotor0_esc_voltage,rotor0_temperature,rotor0_crc_error
17.070024,1782129043097.011719,1782129043090.430176,1782129043089.849121,1782129043090.437744,0.015000,-0.210000,0.030000,0.212662,0.015600,0.000800,0.001200,0.600000,4.052737,5857,120.890000,24.790000,39,64
17.080018,1782129043097.011719,1782129043090.430176,1782129043099.854492,1782129043100.370117,0.000000,-0.150000,0.000000,0.150000,0.011200,0.001200,-0.001200,0.600000,4.077441,5857,120.890000,24.790000,39,64
17.090018,1782129043110.011475,1782129043110.319580,1782129043109.852295,1782129043110.326172,0.060000,-0.120000,0.030000,0.137477,0.008000,0.002400,-0.006800,0.600000,4.103342,5857,120.890000,24.790000,39,107
17.100110,1782129043121.011719,1782129043120.345215,1782129043119.860352,1782129043120.364502,0.030000,-0.045000,0.000000,0.054083,0.005200,0.000000,-0.010000,0.600000,4.130632,5942,120.610000,24.780000,39,146
17.110030,1782129043133.011719,1782129043130.489990,1782129043129.861084,1782129043130.501465,0.015000,0.060000,-0.030000,0.068739,-0.002000,-0.002000,-0.005200,0.700000,4.158544,5942,120.610000,24.780000,39,36
17.120018,1782129043145.011719,1782129043140.374756,1782129043139.858887,1782129043140.384033,0.000000,0.150000,0.060000,0.161555,-0.009200,-0.001200,-0.005200,0.700000,4.187682,5985,120.850000,24.750000,38,18
17.130020,1782129043153.011719,1782129043150.345215,1782129043149.856934,1782129043150.365723,0.015000,0.225000,0.000000,0.225499,-0.016800,-0.000400,-0.002000,0.700000,4.217856,5985,120.850000,24.750000,38,26
17.140015,1782129043165.011719,1782129043160.347412,1782129043159.864746,1782129043160.355957,-0.030000,0.165000,-0.030000,0.170367,-0.018000,-0.002800,-0.002000,0.700000,4.248950,5985,120.850000,24.750000,38,186
17.150016,1782129043173.011719,1782129043170.339844,1782129043159.864746,1782129043160.355957,-0.030000,0.165000,-0.030000,0.170367,-0.018000,-0.002800,-0.002000,0.700000,4.280956,5985,120.850000,24.750000,38,99
17.160018,1782129043185.011719,1782129043180.338379,1782129043179.860352,1782129043180.346436,0.060000,-0.210000,0.030000,0.220454,0.012800,0.005200,-0.005200,0.700000,4.313797,5985,120.850000,24.750000,38,247
17.170013,1782129043197.011719,1782129043190.348877,1782129043189.869629,1782129043190.357666,0.000000,-0.270000,0.030000,0.271662,0.013600,-0.000800,-0.004400,0.700000,4.347398,6171,120.970000,24.780000,39,0
17.180013,1782129043210.011475,1782129043200.328125,1782129043199.854248,1782129043200.335693,-0.045000,-0.210000,0.030000,0.216852,0.018000,-0.002800,-0.008400,0.700000,4.381741,6171,120.970000,24.780000,39,200
17.190016,1782129043221.011719,1782129043210.427002,1782129043209.855469,1782129043210.437500,-0.015000,-0.240000,0.030000,0.242332,0.017600,-0.000800,-0.006800,0.700000,4.416761,6171,120.970000,24.780000,39,216
17.200016,1782129043221.011719,1782129043210.427002,1782129043219.861084,1782129043220.321289,0.000000,-0.135000,0.090000,0.162250,0.013600,-0.001600,-0.004400,0.700000,4.452377,6171,120.970000,24.780000,39,216
17.210011,1782129043230.011475,1782129043230.321533,1782129043229.856201,1782129043230.333984,-0.045000,-0.015000,0.030000,0.056125,0.002400,-0.002800,0.001200,0.700000,4.488523,6171,120.970000,24.780000,39,29
17.220014,1782129043241.011719,1782129043240.309570,1782129043239.855957,1782129043240.315918,-0.030000,0.120000,0.000000,0.123693,-0.009600,0.000400,-0.004800,0.700000,4.525183,6271,121.090000,24.790000,38,168
17.230015,1782129043253.011719,1782129043250.335938,1782129043249.860107,1782129043250.352051,0.045000,0.225000,0.000000,0.229456,-0.019600,-0.000400,-0.001200,0.700000,4.562263,6271,121.090000,24.790000,38,148
17.240018,1782129043265.011719,1782129043260.316162,1782129043249.860107,1782129043250.352051,0.045000,0.225000,0.000000,0.229456,-0.019600,-0.000400,-0.001200,0.700000,4.599713,6271,121.090000,24.790000,38,176
17.250019,1782129043273.011719,1782129043270.326660,1782129043269.854492,1782129043270.333496,0.060000,0.330000,-0.030000,0.336749,-0.028000,0.002000,0.000400,0.700000,4.637459,6271,121.090000,24.790000,38,190
17.260017,1782129043285.011719,1782129043280.318115,1782129043279.855957,1782129043280.322510,0.045000,0.270000,-0.030000,0.275363,-0.020800,0.000000,-0.002000,0.700000,4.675431,6428,121.010000,24.780000,39,119
17.270023,1782129043293.011719,1782129043290.342285,1782129043289.854980,1782129043290.351074,-0.015000,0.195000,0.000000,0.195576,-0.015200,-0.003200,-0.003600,0.700000,4.713602,6428,121.010000,24.780000,39,101
17.280017,1782129043305.011719,1782129043300.377197,1782129043299.857178,1782129043300.388672,0.000000,0.150000,0.000000,0.150000,-0.010800,-0.002000,-0.008800,0.700000,4.751842,6428,121.010000,24.780000,39,25
17.290020,1782129043317.011719,1782129043310.340576,1782129043309.851562,1782129043310.349609,0.030000,0.150000,0.030000,0.155885,-0.012400,0.001200,-0.004000,0.700000,4.790157,6571,120.730000,24.760000,39,0
17.300023,1782129043330.011475,1782129043320.375977,1782129043319.858154,1782129043320.392334,-0.015000,0.150000,0.060000,0.162250,-0.012400,0.000800,-0.002400,0.700000,4.828454,6571,120.730000,24.760000,39,209
